Year,density_num,sum_num
2003,87.57564575645756,47466
2004,112.20638297872341,52737
2005,109.37129485179408,70107
2006,28.773082942097027,18386
2007,8.442503639010189,5800
2008,35.87647058823529,24396
2009,31.95007342143906,21758
2010,53.12903225806452,37881
2011,30.349640287769784,21093
2012,45.17410071942446,31396
2013,21.215811965811966,9929
2014,27.454277286135692,18614
2015,34.11711711711712,22722
2016,37.786127167630056,26148
2017,11.62695035460993,8197
2018,11.853067047075607,8309
2019,21.149425287356323,7360
2021,27.219298245614034,18618
2022,8.198738170347003,5198
2023,6.8880484114977305,4553
2024,5.9741641337386016,3931
