ref_yr,mean_month_bt,max_month_bt,min_month_bt
WCANN-5-2003,5.88668807249775,5.908475716794063,5.854324293502576
WCANN-5-2004,5.90994697192072,5.94204217182329,5.882286021956119
WCANN-5-2005,5.879887643644233,5.932482003920026,5.834814926071073
WCANN-5-2006,5.831224146822311,5.871265173991631,5.80834494172053
WCANN-5-2007,5.868712387951932,5.926626052919138,5.807141935614931
WCANN-5-2008,5.878206504615388,5.932928803841491,5.853239578481068
WCANN-5-2009,5.866746625328337,5.893050703525052,5.841904758135533
WCANN-5-2010,5.915504689504944,5.951133810179206,5.873865959130964
WCANN-5-2011,5.889221550496467,5.946079802483188,5.830646265364652
WCANN-5-2012,5.836738239347115,5.8567052827718165,5.810491875262297
WCANN-5-2013,5.848806185089542,5.87791129599397,5.8239467013160615
WCANN-5-2014,5.880198863936313,5.9069098450521835,5.848894472720593
WCANN-5-2015,5.859845415531915,5.887443266135978,5.839199982013676
WCANN-5-2016,5.881107074954815,5.915081087643138,5.8637897265866235
WCANN-5-2017,5.875892020184803,5.903082828439036,5.848832211607636
WCANN-5-2018,5.858063898953588,5.908333948256633,5.811764284706378
WCANN-5-2019,5.838957575743561,5.871252519430204,5.799791316738823
